year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp,life_exp,iso3,sfa_score,urban_water_idx,health_exp_growth,gdp_pc_lag1,health_exp_lag1,dea_score_lag1,sfa_score_lag1,dea_score
2019,1.0637545755431506,0.3532427273518875,0.7140185534792842,0.4544991758351503,1.329701010412465,1.373657990225268,WB_HI,0.5851737289652883,0.5718789738027493,-0.23877226108889288,1.1066757416341986,1.3477313785396692,-0.18665325268864674,0.5047793953279462,0.5599476111180194
2020,1.0789014321152768,0.2611007216936905,0.7108985121914408,0.5299249621141388,1.0300593962122324,1.1851716091612066,WB_HI,0.6139308882869101,0.6386413196926454,-1.8008703445731555,1.0752128372589995,1.331965129570671,-0.13620680036957272,0.5946573619826546,0.32679398286664946
2021,1.0627395969255824,0.24782712999878925,0.7076927160567965,0.5248516784394068,1.042587723582233,1.1248543967950178,WB_HI,0.6511884422176185,0.6325222523229733,-0.09096539576263078,1.0895835662801268,1.047917730660214,-1.426346188757451,0.6223358331002811,0.7560147164046166
2001,-1.4120741811127735,-0.8332573650516512,-2.409415473189531,-1.4598712445787863,-1.515839512263028,-1.7824064973259308,WB_LI,-2.301796095412752,-1.6050747158422294,-2.298832654880738,-1.2517646162334246,-1.1998301523764063,0.017642620073214845,-2.5892704443760666,0.6080509145163328
2002,-1.2252394008613712,-0.9887529588138287,-1.7946530546881423,-1.0437607726081435,-1.1967505899701156,-1.7487986702356162,WB_LI,-2.5360473500382317,-1.3081291260727892,1.7771664608872098,-1.3745855880473636,-1.46909345416008,0.09751422838547938,-2.184021505697666,0.5718923928394822
2003,-1.3734559250436762,-0.3547558397928469,-2.031921129600818,-1.403382813204606,-1.3557281821223712,-1.6982448302808293,WB_LI,-2.1370491933714857,-1.5200172971186807,-1.4054499315573794,-1.181476899817214,-1.1418278804499815,-0.07726249354125234,-2.409485937455505,0.4866683101137334
2004,-1.3331486583791412,-0.5508654555811652,-1.9873938805115012,-1.3627757226612431,-1.4430332366740195,-1.6559032328068237,WB_LI,-1.8016220564434269,-1.4943486931218486,-0.842385386675795,-1.3345376941830946,-1.3043876047317475,-0.5117829026399162,-2.025454300958528,0.5467564356987633
2005,-1.326612856591388,-0.3012861866125594,-2.0225100165699086,-1.2586550686046585,-1.32505475378635,-1.6045246840706042,WB_LI,-1.668761156165071,-1.4541927021559156,0.6609943902305916,-1.2928128060829698,-1.3940729607204452,-0.20202033180797066,-1.7026091194266055,0.5235300897939271
2006,-1.273762156656646,-0.5898775599100307,-1.9106564633086365,-1.2947800741521127,-1.4454715674116143,-1.5529344134802612,WB_LI,-1.355039286752847,-1.4497402287596524,-1.1122683049889928,-1.2860542565282935,-1.2729480612775512,-0.31978024349493156,-1.574731864587621,0.550458508741489
2007,-1.26087579582149,-0.9592710849567638,-1.7085736212773188,-0.9729455196846785,-1.446453264999079,-1.5018046153538338,WB_LI,-1.1600796438541783,-1.2541493906251966,-0.16264082878540173,-1.2314746753946382,-1.3965820510582077,-0.18347295315543494,-1.272777780584434,0.5855323093940966
2008,-1.2958210953962324,-0.9724863085453387,-1.6815628823959783,-1.0185553908069689,-1.3869628237716094,-1.4519616845946723,WB_LI,-0.9245426198681075,-1.2706457638264712,0.2752576525557186,-1.218186166459458,-1.3975923033174669,-0.010694862428163405,-1.0851311224175997,0.6275555425888852
2009,-1.2392085240398223,-0.8365113625656804,-1.5069550430082843,-0.9100214907312288,-1.3670852151641737,-1.406066998730949,WB_LI,-0.8174556100837533,-1.1744911735469001,-0.008631820420739096,-1.254239616628071,-1.3364397211223003,0.1895852656775551,-0.8584291508279217,0.6167264613273744
2010,-1.2567914012287968,-0.8651717850227019,-1.4727838902330257,-0.8151470443757303,-1.4070705370085164,-1.3656174138915977,WB_LI,-0.7892899261062154,-1.1158371344057991,-0.4620043648098638,-1.1958597301681178,-1.3160375017737667,0.13865370218988893,-0.7553590014352219,0.5558808839678242
