IndicatorCode,Id,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
WHOSIS_000001,3067564,COUNTRY,LVA,YEAR,EUR,Europe,SEX,2018,SEX_BTSX,NA,NA,NA,NA,NA,NA,75.1 [75.0-75.2],75.05473366,74.96075584,75.19261394,NA,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
WHOSIS_000001,3068398,COUNTRY,MUS,YEAR,AFR,Africa,SEX,2008,SEX_FMLE,NA,NA,NA,NA,NA,NA,76.4 [76.3-76.6],76.43049031,76.33261599,76.60285292,NA,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
WHOSIS_000001,3068957,COUNTRY,COD,YEAR,AFR,Africa,SEX,2010,SEX_BTSX,NA,NA,NA,NA,NA,NA,57.4 [56.6-58.2],57.39937072,56.59349828,58.19469414,NA,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
WHOSIS_000001,3070206,COUNTRY,SWE,YEAR,EUR,Europe,SEX,2000,SEX_FMLE,NA,NA,NA,NA,NA,NA,81.8 [81.8-81.9],81.78614539,81.77961224,81.85635373,NA,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
WHOSIS_000001,3071830,COUNTRY,FRA,YEAR,EUR,Europe,SEX,2014,SEX_MLE,NA,NA,NA,NA,NA,NA,79.3 [79.2-79.3],79.28034202,79.22179729,79.33888674,NA,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
WHOSIS_000001,3071959,COUNTRY,BTN,YEAR,SEAR,South-East Asia,SEX,2015,SEX_MLE,NA,NA,NA,NA,NA,NA,72.1 [71.4-72.7],72.05049422,71.368036,72.67350807,NA,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
WHOSIS_000001,3072572,COUNTRY,ROU,YEAR,EUR,Europe,SEX,2003,SEX_BTSX,NA,NA,NA,NA,NA,NA,71.2 [71.1-71.4],71.23111832,71.1370573,71.40655561,NA,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
WHOSIS_000001,3074384,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,2017,SEX_MLE,NA,NA,NA,NA,NA,NA,56.1 [55.2-57.0],56.09000452,55.20418417,56.96251998,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3076005,COUNTRY,ERI,YEAR,AFR,Africa,SEX,2016,SEX_FMLE,NA,NA,NA,NA,NA,NA,65.8 [65.0-66.6],65.75880347,65.02046086,66.60161819,NA,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
WHOSIS_000001,3077613,COUNTRY,GMB,YEAR,AFR,Africa,SEX,2000,SEX_BTSX,NA,NA,NA,NA,NA,NA,59.2 [58.3-60.0],59.15410966,58.27082757,60.011287,NA,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
WHOSIS_000001,3078520,COUNTRY,HND,YEAR,AMR,Americas,SEX,2015,SEX_MLE,NA,NA,NA,NA,NA,NA,67.3 [66.6-68.1],67.29905255,66.55258751,68.0706367,NA,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
WHOSIS_000001,3078658,COUNTRY,USA,YEAR,AMR,Americas,SEX,2011,SEX_FMLE,NA,NA,NA,NA,NA,NA,80.8 [80.8-80.8],80.79712163,80.75090401,80.84333926,NA,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
WHOSIS_000001,3078828,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2002,SEX_FMLE,NA,NA,NA,NA,NA,NA,80.2 [80.2-80.3],80.23969566,80.16035923,80.31903209,NA,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
WHOSIS_000001,3079864,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,NA,NA,NA,NA,NA,NA,82.6 [82.6-82.7],82.59319648,82.57365535,82.68148374,NA,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
WHOSIS_000001,3081071,COUNTRY,SSD,YEAR,AFR,Africa,SEX,2002,SEX_FMLE,NA,NA,NA,NA,NA,NA,55.5 [54.4-56.9],55.47115931,54.35075689,56.93901055,NA,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
WHOSIS_000001,3082606,COUNTRY,KAZ,YEAR,EUR,Europe,SEX,2006,SEX_FMLE,NA,NA,NA,NA,NA,NA,71.3 [71.1-71.6],71.2803285,71.05423053,71.58867031,NA,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
WHOSIS_000001,3082811,COUNTRY,FSM,YEAR,WPR,Western Pacific,SEX,2017,SEX_BTSX,NA,NA,NA,NA,NA,NA,65.7 [64.8-66.5],65.6570782,64.83905787,66.53240631,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3083251,COUNTRY,UKR,YEAR,EUR,Europe,SEX,2011,SEX_BTSX,NA,NA,NA,NA,NA,NA,70.9 [70.9-71.0],70.93317751,70.90754749,71.02012421,NA,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
WHOSIS_000001,3084559,COUNTRY,LTU,YEAR,EUR,Europe,SEX,2014,SEX_FMLE,NA,NA,NA,NA,NA,NA,79.8 [79.8-80.0],79.8329322,79.76398535,79.99146168,NA,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
WHOSIS_000001,3085115,COUNTRY,GNB,YEAR,AFR,Africa,SEX,2014,SEX_FMLE,NA,NA,NA,NA,NA,NA,59.6 [58.6-60.5],59.55679779,58.61607396,60.47785349,NA,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
WHOSIS_000001,3085467,COUNTRY,GNB,YEAR,AFR,Africa,SEX,2020,SEX_BTSX,NA,NA,NA,NA,NA,NA,58.4 [57.4-59.5],58.37604595,57.39633151,59.53111275,NA,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
WHOSIS_000001,3085840,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,2013,SEX_BTSX,NA,NA,NA,NA,NA,NA,66.6 [66.1-67.1],66.60736544,66.14959046,67.10887745,NA,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
WHOSIS_000001,3086204,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2007,SEX_MLE,NA,NA,NA,NA,NA,NA,58.7 [58.1-59.3],58.69439256,58.07227866,59.25401559,NA,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
WHOSIS_000001,3086350,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,2012,SEX_BTSX,NA,NA,NA,NA,NA,NA,74.6 [74.4-74.8],74.57322126,74.41029438,74.78888043,NA,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
WHOSIS_000001,3087820,COUNTRY,SUR,YEAR,AMR,Americas,SEX,2009,SEX_MLE,NA,NA,NA,NA,NA,NA,69.8 [69.5-70.2],69.81207984,69.49158459,70.1906487,NA,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
WHOSIS_000001,3088202,COUNTRY,MKD,YEAR,EUR,Europe,SEX,2008,SEX_BTSX,NA,NA,NA,NA,NA,NA,74.3 [74.2-74.5],74.31760094,74.20582069,74.51108196,NA,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
WHOSIS_000001,3088893,COUNTRY,GUY,YEAR,AMR,Americas,SEX,2017,SEX_MLE,NA,NA,NA,NA,NA,NA,65.0 [64.1-65.9],64.95586874,64.05229288,65.91122433,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3090231,COUNTRY,IDN,YEAR,WPR,Western Pacific,SEX,2017,SEX_MLE,NA,NA,NA,NA,NA,NA,69.2 [68.4-70.0],69.19758846,68.43839435,69.9581024,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3090279,COUNTRY,LBR,YEAR,AFR,Africa,SEX,2019,SEX_BTSX,NA,NA,NA,NA,NA,NA,63.4 [62.2-64.8],63.44171284,62.18539682,64.76936705,NA,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
WHOSIS_000001,3090502,COUNTRY,ITA,YEAR,EUR,Europe,SEX,2017,SEX_FMLE,NA,NA,NA,NA,NA,NA,84.5 [84.5-84.6],84.51350659,84.45725638,84.5697568,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3090548,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,SEX,2021,SEX_MLE,NA,NA,NA,NA,NA,NA,70.9 [70.5-71.3],70.89524564,70.53249582,71.25837722,NA,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
